age,gender,race,span_hisp_latin,marital_status,education_level,active_certification_license,disability,health_status,insurance_coverage_flag,citizenship,birth_country,immigration_period,employed_or_not,worker_class,industry,total_income,taxable_income,poverty_category,child_outside_household,child_support_flag,annual_child_support,household_status,metropolitan_status,state,region,household_income,financial_assistance_flag
36,2,1,2,1,44,1,2,2,1,1,57,0,1,4,10,37021,0,4,2,0,0,2,1,23,1,112037,2
23,1,1,1,7,41,2,2,1,1,1,57,0,1,1,3,45010,33010,4,2,0,0,5,1,23,1,225320,2
37,1,1,2,1,43,2,2,2,1,1,57,0,1,1,9,140009,171719,4,2,0,0,1,1,23,1,195719,2
36,2,1,2,1,42,1,2,2,1,1,57,0,1,1,10,55710,0,4,2,0,0,2,1,23,1,195719,2
27,1,1,2,7,39,2,2,1,1,1,57,0,1,2,4,35350,23350,4,2,0,0,5,1,23,1,138030,2
24,1,1,2,7,43,1,2,3,1,1,57,0,1,1,5,45441,33441,4,2,0,0,1,1,23,1,45441,2
35,1,1,2,1,43,2,2,2,1,1,57,0,4,1,5,30120,28870,4,2,0,0,1,1,23,1,102171,2
34,2,1,2,1,43,2,2,3,1,1,57,0,1,1,5,30551,0,4,2,0,0,2,1,23,1,102171,2
29,1,1,2,7,39,2,1,3,1,1,57,0,7,0,0,15000,0,4,2,0,0,6,1,23,1,102171,2
30,2,1,2,1,40,1,1,3,1,1,57,0,1,1,8,33000,9076,3,2,0,0,1,1,23,1,33076,2
29,1,1,2,1,39,2,2,4,1,1,57,0,1,1,5,76,0,3,2,0,0,2,1,23,1,33076,2
30,1,1,2,7,41,1,2,2,1,1,57,0,1,2,13,56001,44001,4,2,0,0,1,1,23,1,76201,2
31,1,1,2,1,43,2,2,1,1,1,57,0,1,1,4,88072,67517,4,2,0,0,1,1,23,1,96078,2
31,2,1,2,1,43,2,2,1,1,1,57,0,1,1,9,8006,0,4,2,0,0,2,1,23,1,96078,2
31,2,1,2,7,39,1,2,1,1,1,57,0,1,1,6,68081,56081,4,2,0,0,1,1,23,1,68081,2
25,1,1,2,7,39,2,2,1,1,1,57,0,1,1,11,30005,18005,4,2,0,0,5,1,23,1,167338,2
25,1,1,2,7,39,2,2,2,1,1,57,0,1,1,9,60004,48004,4,2,0,0,1,1,23,1,60004,2
35,2,1,2,5,42,2,2,3,1,1,57,0,1,1,5,57240,27240,4,2,0,0,5,1,23,1,127210,2
28,2,1,2,7,43,2,2,1,2,1,57,0,1,1,11,25000,13000,4,2,0,0,1,1,23,1,25000,2
38,2,1,2,1,39,2,2,1,2,1,57,0,7,0,0,1,0,4,2,0,0,2,1,23,1,52602,2
36,2,1,2,1,43,2,2,2,1,1,57,0,1,1,8,76000,168189,4,2,0,0,1,1,23,1,223250,2
35,1,1,2,1,43,2,2,2,1,1,57,0,1,1,9,147250,0,4,2,0,0,2,1,23,1,223250,2
38,2,1,1,2,37,1,2,3,1,1,57,0,1,1,10,20060,0,4,2,0,0,2,1,23,1,82121,2
34,1,1,2,1,43,2,2,1,1,1,57,0,1,1,4,13405,24210,4,2,0,0,1,1,23,1,61410,2
32,2,1,2,1,43,2,2,1,1,1,57,0,1,3,13,48005,0,4,2,0,0,2,1,23,1,61410,2
34,1,1,2,1,39,2,2,1,1,1,57,0,4,1,4,95010,102872,4,2,0,0,1,1,23,1,158021,2
35,2,1,2,1,39,2,2,1,1,1,57,0,1,1,5,32011,0,4,2,0,0,2,1,23,1,158021,2
30,2,1,2,7,39,2,2,2,1,1,57,0,1,1,10,9172,0,4,2,0,0,5,2,33,1,66156,2
34,1,1,2,6,40,1,2,3,1,1,57,0,1,1,6,50425,32425,4,2,0,0,1,2,33,1,50425,2
33,2,1,2,1,39,2,2,2,1,1,57,0,7,0,0,0,0,4,2,0,0,2,2,33,1,88150,2
34,2,1,2,7,39,2,2,2,2,1,57,0,1,1,11,32582,14582,4,2,0,0,1,2,33,1,32582,2
34,1,1,2,1,39,2,2,3,1,1,57,0,1,1,4,36401,48401,4,2,0,0,1,2,33,1,72401,2
29,2,1,2,1,39,2,2,3,1,1,57,0,1,1,11,36000,0,4,2,0,0,2,2,33,1,72401,2
24,2,7,2,7,39,2,2,3,1,1,57,0,6,0,0,1400,0,1,1,2,0,5,2,33,1,49220,2
28,2,1,2,7,39,2,2,3,1,1,57,0,1,1,5,482,0,4,2,0,0,6,2,33,1,62513,2
38,2,1,2,1,40,1,2,2,1,1,57,0,1,6,12,20000,102121,4,2,0,0,1,2,33,1,131251,2
31,2,1,2,6,40,2,2,3,1,1,57,0,1,3,10,30000,12000,3,2,0,0,1,2,33,1,30000,2
38,1,1,2,1,40,2,1,3,1,1,57,0,1,1,8,50000,38999,4,2,0,0,1,2,33,1,62999,2
35,2,1,1,1,39,2,2,3,1,1,57,0,4,1,11,12999,0,4,2,0,0,2,2,33,1,62999,2
25,2,1,2,1,43,2,2,1,1,1,57,0,1,4,10,23006,29017,4,2,0,0,1,2,33,1,53017,2
27,1,1,2,1,43,2,2,1,1,1,57,0,1,1,8,30011,0,4,2,0,0,2,2,33,1,53017,2
33,1,1,2,7,44,2,2,2,1,1,57,0,1,1,8,120000,86230,4,2,0,0,5,2,33,1,206914,2
31,2,1,2,1,43,1,2,2,1,1,57,0,1,1,10,50002,81005,4,2,0,0,1,2,33,1,105005,2
32,1,1,2,1,46,1,2,2,1,1,57,0,1,1,10,55003,0,4,2,0,0,2,2,33,1,105005,2
32,1,1,2,7,43,2,2,2,1,1,57,0,7,0,0,2,0,1,2,0,0,1,2,33,1,40206,2
38,2,1,2,1,43,1,2,1,1,5,139,21,1,4,10,80000,169906,4,2,0,0,1,2,33,1,208006,2
26,1,1,2,7,43,1,2,1,2,1,57,0,7,0,0,0,0,4,2,0,0,5,2,33,1,85001,2
27,2,1,2,7,44,1,2,1,1,1,57,0,1,1,10,55502,43502,4,2,0,0,1,2,33,1,55502,2
